"Card Name","Character Class","Damage Bonus","Attack Type","Special Ability Trigger","Attack Value","Action Point","Damage Points","Sub Class","Cast Ability","Special Ability","Is A Character"
"Ace of Clubs",Warrior,0,Melee,False,1,1,1,Warrior,"Heavy armor block of 4",,True
"Ace of Hearts",Warrior,0,Melee,True,1,1,1,Paladin,"Heavy armor block of 4","Warrior that deals preternatural damage and is not destroyed by magic/ranged damage (including unblockable).",True
"Ace of Diamonds",Warrior,0,Melee,False,1,1,1,Warrior,"Heavy armor block of 4",,True
"Ace of Spades",Warrior,0,Melee,True,1,1,1,"Death Knight","Heavy armor block of 4","Warrior that destroys any character that used a successful melee attack against it.",True
"King of Diamonds",Warrior,1,Melee,False,1,1,1,Warlord,"Warrior specific weapon +2 Damage",,True
"King of Spades",Warrior,0,Melee,False,1,1,1,Warrior,"Warrior specific weapon +2 Damage",,True
"King of Clubs",Warrior,0,Melee,False,1,1,1,Warrior,"Warrior specific weapon +2 Damage",,True
"King of Hearts",Warrior,0,Melee,True,1,1,1,"Suicide King","Warrior specific weapon +2 Damage","May be sacrificed to deal ravage melee damage equal to double the bonus weapon damage +1.",True
"Queen of Clubs",Caster,0,Ranged,False,0,1,1,Witch,"Can be 4 Magical Block or Damage Depending on Sub Class",,True
"Queen of Diamonds",Healer,0,Ranged,False,0,1,1,Preist,"Can be 4 Magical Block or Damage Depending on Sub Class",,True
"Queen of Hearts",Healer,0,Ranged,True,0,1,1,Preist,"Can be 4 Magical Block or Damage Depending on Sub Class","Healer that may use magic as an instant block at no cost in action points.",True
"Queen of Spades",Caster,1,Ranged,True,0,1,1,Witch,"Can be 4 Magical Block or Damage Depending on Sub Class",,True
"Jacks of Spades",Rangers,0,Ranged,True,0,2,1,Warrior,"Ammo dealing 4 ranged damage","Rangers are both warriors and marksman classes at all times.  They deal unblockable damage and may not have heavy armor.",True
"Jacks of Hearts",Rangers,0,Ranged,True,0,2,1,Warrior,"Ammo dealing 4 ranged damage","Rangers are both warriors and marksman classes at all times.  They deal unblockable damage and may not have heavy armor.",True
"Jacks of Clubs",Marksman,0,Ranged,False,0,1,1,Marksman,"Ammo dealing 4 ranged damage",,True
"Jacks of Diamonds",Marksman,0,Ranged,False,0,1,1,Marksman,"Ammo dealing 4 ranged damage",,True
"Ten of Clubs",,,,False,,,1,Magic,"Target Player Draws 2 Cards",,False
"Ten of Spades",,,,False,,,1,Magic,"Target Player Draws 2 Cards",,False
"Ten of Hearts",,,,False,,,1,Magic,"Target Player Draws 2 Cards",,False
